is_delay,deliver_year,deliver_month,total_orders,avg_delay_days,avg_review_score,review_score_1,review_score_2,review_score_3,review_score_4,review_score_5,pct_review_score_1,pct_review_score_2,pct_review_score_3,pct_review_score_4,pct_review_score_5
1,2017,11,185,9,2,77,12,25,23,48,41.62,6.49,13.51,12.43,25.95
1,2018,7,77,17,2,37,6,7,10,17,48.05,7.79,9.09,12.99,22.08
1,2018,1,615,12,1,382,68,60,35,70,62.11,11.06,9.76,5.69,11.38
1,2018,4,1317,11,1,828,118,137,101,133,62.87,8.96,10.4,7.67,10.1
1,2017,3,45,8,2,22,6,5,6,6,48.89,13.33,11.11,13.33,13.33
1,2017,9,152,28,2,64,10,24,23,31,42.11,6.58,15.79,15.13,20.39
1,2017,12,617,6,2,320,48,60,75,114,51.86,7.78,9.72,12.16,18.48
1,2017,6,87,10,2,41,3,8,10,25,47.13,3.45,9.2,11.49,28.74
1,2018,10,3,83,4,0,0,0,1,2,0,0,0,33.33,66.67
1,2018,2,318,9,2,183,31,34,26,44,57.55,9.75,10.69,8.18,13.84
1,2016,11,2,18,2,1,0,0,1,0,50,0,0,50,0
1,2017,7,86,8,2,50,5,6,10,15,58.14,5.81,6.98,11.63,17.44
1,2018,5,407,17,2,239,34,45,38,51,58.72,8.35,11.06,9.34,12.53
1,2017,10,180,7,2,73,22,23,23,39,40.56,12.22,12.78,12.78,21.67
1,2018,8,538,5,2,191,43,60,80,164,35.5,7.99,11.15,14.87,30.48
1,2017,4,82,10,2,45,7,8,8,14,54.88,8.54,9.76,9.76,17.07
1,2016,12,1,18,1,1,0,0,0,0,100,0,0,0,0
1,2018,3,891,7,2,514,68,92,91,126,57.69,7.63,10.33,10.21,14.14
1,2017,2,1,2,1,1,0,0,0,0,100,0,0,0,0
1,2017,5,184,8,2,88,21,17,20,38,47.83,11.41,9.24,10.87,20.65
1,2018,9,55,22,1,32,7,6,5,5,58.18,12.73,10.91,9.09,9.09
1,2017,8,97,10,2,48,9,8,9,23,49.48,9.28,8.25,9.28,23.71
1,2018,6,469,9,2,207,38,72,57,95,44.14,8.1,15.35,12.15,20.26
0,2018,8,7743,-9,4,424,170,535,1535,5079,5.48,2.2,6.91,19.82,65.59
0,2018,5,6672,-13,4,417,153,485,1364,4253,6.25,2.29,7.27,20.44,63.74
0,2017,4,1760,-15,4,116,59,157,368,1060,6.59,3.35,8.92,20.91,60.23
0,2017,10,4319,-13,4,276,103,321,927,2692,6.39,2.38,7.43,21.46,62.33
0,2017,1,283,-30,4,20,4,27,49,183,7.07,1.41,9.54,17.31,64.66
0,2016,11,55,-22,3,12,1,6,9,27,21.82,1.82,10.91,16.36,49.09
0,2017,12,6580,-12,4,465,177,562,1404,3972,7.07,2.69,8.54,21.34,60.36
0,2018,2,5525,-13,4,408,157,524,1131,3305,7.38,2.84,9.48,20.47,59.82
0,2017,7,3368,-13,4,183,103,289,683,2110,5.43,3.06,8.58,20.28,62.65
0,2017,6,3143,-14,4,210,82,280,637,1934,6.68,2.61,8.91,20.27,61.53
0,2017,8,4224,-13,4,249,116,317,811,2731,5.89,2.75,7.5,19.2,64.65
0,2018,4,6490,-12,4,474,185,516,1347,3968,7.3,2.85,7.95,20.76,61.14
0,2017,3,2333,-14,4,149,59,212,482,1431,6.39,2.53,9.09,20.66,61.34
0,2017,9,3804,-11,4,214,102,277,812,2399,5.63,2.68,7.28,21.35,63.07
0,2018,1,5952,-14,4,423,188,527,1204,3610,7.11,3.16,8.85,20.23,60.65
0,2018,7,5748,-14,4,369,124,382,1046,3827,6.42,2.16,6.65,18.2,66.58
0,2016,10,206,-41,4,24,5,15,41,121,11.65,2.43,7.28,19.9,58.74
0,2017,11,4488,-11,4,302,120,398,923,2745,6.73,2.67,8.87,20.57,61.16
0,2018,6,6341,-18,4,414,172,464,1230,4061,6.53,2.71,7.32,19.4,64.04
0,2017,5,3576,-13,4,235,102,321,775,2143,6.57,2.85,8.98,21.67,59.93
0,2016,12,2,-23,5,0,0,0,0,2,0,0,0,0,100
0,2018,3,5979,-10,4,491,167,536,1298,3487,8.21,2.79,8.96,21.71,58.32
0,2017,2,1353,-25,4,86,36,113,259,859,6.36,2.66,8.35,19.14,63.49
